FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
87,,KOMI-CD,34,34,WOODWARD,OK,361606,992657,1015,0,15,DA,86491,120
1005,,KDOR-TV,36,17,BARTLESVILLE,OK,363057,954615,520.4,315.4,1000,DA,118548,0
2566,,KOPX-TV,18,50,OKLAHOMA CITY,OK,353552,972923,830,483,104,ND,,
2767,,KAFT,9,9,FAYETTEVILLE,AR,354853,940142,1028.7,503,37.9,ND,,
6864,,KAUZ-TV,22,22,WICHITA FALLS,TX,335404,983222,612,311,433,ND,,
7078,,KTPX-TV,28,28,OKMULGEE,OK,355002,960729,452,219,1000,DA,19049,0
7675,,KJTL,15,15,WICHITA FALLS,TX,341205,984346,591.6,263,1000,DA,78511,0
8986,,KTZT-CD,29,29,TULSA,OK,360919,955928,424,0,10,DA,105987,200
10265,,KOHC-CD,31,45,OKLAHOMA CITY,OK,352146,972658,440,0,11.4,DA,104926,0
11034,,K20DN-D,20,20,WICHITA FALLS,TX,335323,983331,458,0,5,DA,23503,0
11910,,KOKI-TV,22,22,TULSA,OK,360136,954045,592.4,400,1000,DA,46198,0
12508,,KOCO-TV,7,7,OKLAHOMA CITY,OK,353345,972925,803,451,65.7,ND,,
14885,,KUOK-CD,36,36,OKLAHOMA CITY,OK,352454,973037,540.7,0,7.33,DA,101224,0
17433,,KAZD,31,39,LAKE DALLAS,TX,323515,965800,700.8,509.3,852,ND,,
18283,,KODE-TV,23,43,JOPLIN,MO,370437,943216,565.4,268.6,663,ND,,
23422,,KTVT,19,19,FORT WORTH,TX,323236,965733,737,533.9,1000,ND,,
24485,,KGEB,14,49,TULSA,OK,360235,955712,395,182,24,DA,75819,0
25382,,KWTV-DT,25,39,OKLAHOMA CITY,OK,353552,972923,827,478,748,DA,99012,0
29557,,KNWA-TV,33,50,ROGERS,AR,362448,935718,658.4,267,726,ND,,
29560,,KFTA-TV,27,27,FORT SMITH,AR,354236,940816,723.5,305,600,DA,91306,0
31368,,KUOT-CD,21,19,OKLAHOMA CITY,OK,352210,972742,578.7,0,15,DA,17757,330
31369,,KUTU-CD,17,25,TULSA,OK,360901,955926,355.9,0,6.55,DA,103782,70
33345,,KPTS,8,8,HUTCHINSON,KS,380321,974637,704.6,244,32,DA,87205,0
35388,,KOKH-TV,24,24,OKLAHOMA CITY,OK,353258,972919,827.8,475.8,1000,DA,44126,0
35434,,KOTV-DT,26,45,TULSA,OK,360115,954033,748.8,556.2,574,ND,,
35645,,KSWO-TV,11,11,LAWTON,OK,341255,984314,653,327.3,138,ND,,
35666,,KTEN,17,26,ADA,OK,342134,963335,672,426,811,DA,104957,0
35685,,KTUL,10,10,TULSA,OK,355808,953656,763,578,15,DA,105038,0
35841,,KUVN-DT,33,23,GARLAND,TX,323521,965813,709,517,1000,DA,106662,0
35954,,KXII,12,12,SHERMAN,TX,340158,964801,776.8,545.5,36,ND,,
37099,,KWHB,16,47,TULSA,OK,360115,954033,650.6,460,26.1,DA,85813,0
38214,,KSBI,23,23,OKLAHOMA CITY,OK,353552,972923,678.8,330.7,1000,ND,,
49324,,KERA-TV,14,14,DALLAS,TX,323236,965733,717.5,514.4,975,DA,113863,0
50170,,KOCB,33,33,OKLAHOMA CITY,OK,353258,972919,809.8,457.6,900,ND,,
50182,,KAUT-TV,19,40,OKLAHOMA CITY,OK,353552,972923,785.2,436.9,639,ND,,
50194,,KWET,8,8,CHEYENNE,OK,353536,994002,929.6,303.2,60,DA,108315,0
50198,,KOET,31,31,EUFAULA,OK,351101,952020,576.4,364.1,1000,ND,,
50205,,KETA-TV,13,13,OKLAHOMA CITY,OK,353552,972923,811.1,462.6,50,ND,,
51101,,KOZJ,35,25,JOPLIN,MO,370437,943216,577.5,281,68,ND,,
51517,,KTXA,18,29,FORT WORTH,TX,323236,965733,737,533.9,779,ND,,
52420,,KHMF-CA,14,14,BENTONVILLE,AR,362337,941058,476.1,0,10.1,DA,120583,0
54420,,KMYT-TV,34,42,TULSA,OK,360136,954045,572.1,381,770,ND,,
57431,,KRSU-TV,32,36,CLAREMORE,OK,362403,953631,460,255,133,DA,76140,0
66222,,KFOR-TV,27,27,OKLAHOMA CITY,OK,353552,972923,828,489,790,ND,,
66414,,KBSD-DT,6,6,ENSIGN,KS,373828,1002041,1045.8,216.8,31,ND,,
72359,,KSNC,22,22,GREAT BEND,KS,382554,984619,854.6,284,500,DA,79041,0
72361,,KSNG,11,11,GARDEN CITY,KS,374640,1005210,1120,239,56.8,ND,,
77480,,KTUZ-TV,29,29,SHAWNEE,OK,353336,972908,827.5,474,1000,ND,,
79258,,KDCK,21,21,DODGE CITY,KS,374933,1001041,892,99,8.42,DA,66140,0
86532,,KUOK,35,35,WOODWARD,OK,361606,992657,875,197,8,DA,105002,120
